,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_id,user_lang,user_location,user_name,user_statuses_count
0,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",925440868575797252,Wed Aug 16 00:33:04 +0000 2017,,9,17,58,braggingdragon1,en,,braggingdragon02,3757
1,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",925440868575797252,Fri May 08 13:58:40 +0000 2009,I support President Trump🎃,22317,997,1091,GinHay,en,,GingerH,34383
2,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",925440868575797252,Mon Jun 22 01:03:39 +0000 2009,"Wife, mother, grandmother, and business woman. My opinions and conclusions are my own. Liberalism, feminism, and transgenderism are all mental disorders. 🇺🇸",46816,2239,1343,UGAbulldogs8765,en,"Georgia, USA",American Woman 🇺🇸™,49660
3,,0,,en,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",925440868575797252,Tue Nov 13 17:02:51 +0000 2012,@realDonaldTrump @POTUS #AmericaFirst #TrumpTrain @NRA #2A #PresidentTrump 🕶 #MakeCaliforniaGreatAgain #MCGA,2136,5789,6379,RedMeatMonday,en,Rent free in your head,RedMeatMonday 🚂💨,78587
4,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",925440868575797252,Sun Mar 06 01:27:33 +0000 2016,"Hard Working American, All in for #Trump. More jobs, Veteran's care, Border security,Smart Trade,all that Trump stands for,End Estblshnt. I list Block",29020,4621,5077,PaulGregory2173,en,"Arizona, USA",Deplorable Paul G,35416
5,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",925440868575797252,Wed Apr 30 19:31:08 +0000 2014,,46582,1384,1319,heather_masten,en,,who is John Galt,31119
6,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",925440868575797252,Wed Mar 02 23:53:17 +0000 2016,,104,12,47,gabrielf716,en,,Gabe,109
7,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",925440868575797252,Thu Oct 27 22:13:24 +0000 2016,"NewsZdump - Sifting thru trash for real news. Not independent media, ROGUE MEDIA. Support #Trump & Christianity. World News Editor at NewsZdump.",18592,2702,4705,NewsZdump,en,"Wellington City, New Zealand",Hurricane Shane,10688
8,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",925440868575797252,Thu Mar 19 18:58:34 +0000 2009,,11091,438,916,reubing,en,"Miami, FL",robg,19315
9,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",925440868575797252,Thu Feb 16 15:14:28 +0000 2012,"#MAGA #WINNING  Work with SACPAC LLC, help to really secure the border and expand Economic Development in Santa Cruz Valley. Make Arizona and US great again!",35203,1124,449,SACPAC1,en,"Sahuarita, Arizona 85629",SACPoliticalAdvisors,82306
